t,E,N,Alt,HDOP
1759771646.0,328083.7895163168,4689328.578106667,10.458,1.5
1759771647.0,328083.8266165264,4689328.359977615,10.265,1.5
1759771648.0,328083.90870967635,4689328.178151163,10.098,1.9
1759771649.0,328083.9962077568,4689327.9982290715,9.958,1.9
1759771650.0,328084.0907546232,4689327.792023325,9.751,1.3
1759771651.0,328084.1678278643,4689327.629579005,9.636,1.3
1759771652.0,328084.24364053993,4689327.477350635,9.548,1.3
1759771653.0,328084.3088784863,4689327.33649271,9.436,1.3
1759771654.0,328084.32617747306,4689327.22403302,9.382,1.5
1759771655.0,328084.37054650753,4689327.122945838,9.31,1.2
1759771656.0,328084.4216959771,4689327.035025367,9.315,1.2
1759771657.0,328084.46209497435,4689326.968109113,9.33,1.2
1759771658.0,328084.39324554487,4689326.989798418,9.26,2.4
1759771659.0,328084.1201848222,4689327.110201419,9.138,1.3
1759771660.0,328083.9132473338,4689327.1762048,9.0,1.3
1759771661.0,328083.86548726936,4689327.1783027975,8.908,2.4
1759771662.0,328083.68106322316,4689327.221161469,8.804,1.1
1759771663.0,328083.52966060623,4689327.243580458,8.716,1.1
1759771664.0,328083.52871379675,4689327.216196747,8.684,2.4
1759771665.0,328083.52314851957,4689327.190963383,8.643,2.4
1759771666.0,328083.49942135124,4689327.170249738,8.573,1.3
1759771667.0,328083.3755583616,4689327.189585509,8.464,1.3
1759771668.0,328083.23237493564,4689327.216617528,8.376,1.1
1759771669.0,328083.2172561718,4689327.199581449,8.312,1.3
1759771670.0,328083.19711399544,4689327.196186939,8.248,1.3
1759771671.0,328083.16624056967,4689327.208981447,8.178,1.3
1759771672.0,328083.12593628885,4689327.234970144,8.106,1.3
1759771673.0,328083.0772622234,4689327.278200996,8.047,1.5
1759771674.0,328083.01511880266,4689327.343613891,7.995,1.5
1759771675.0,328082.95458395313,4689327.373802714,7.864,1.5
1759771676.0,328082.87471432926,4689327.439095087,7.709,1.5
1759771677.0,328082.7473770876,4689327.484811986,7.531,1.3
1759771678.0,328082.6523719244,4689327.549179534,7.387,1.5
1759771679.0,328082.50939394254,4689327.57898426,7.299,1.3
1759771680.0,328082.355626718,4689327.617016599,7.184,1.3
1759771681.0,328082.2107788462,4689327.66020033,7.091,1.3
1759771682.0,328082.06747209624,4689327.710197979,7.0,1.3
1759771683.0,328081.95248095214,4689327.743945431,6.958,1.1
1759771684.0,328081.84487641236,4689327.8043630095,6.861,1.1
1759771685.0,328081.7495428545,4689327.838553951,6.842,1.1
1759771686.0,328081.63679753407,4689327.879838759,6.785,1.1
1759771687.0,328081.5449535885,4689327.927462354,6.707,1.1
1759771688.0,328081.4840934706,4689327.983584665,6.584,1.1
1759771689.0,328081.4113977133,4689328.038886346,6.467,1.1
1759771690.0,328081.32503137074,4689328.091375431,6.374,1.1
1759771691.0,328081.23720356944,4689328.151492851,6.324,1.1
1759771692.0,328081.13879091246,4689328.2281660605,6.238,1.1
1759771693.0,328081.06544601265,4689328.279409673,6.196,1.1
1759771694.0,328080.9900278819,4689328.330148621,6.119,1.1
1759771695.0,328080.9181283775,4689328.3619126445,6.084,1.1
1759771696.0,328080.8377591733,4689328.406847273,6.052,1.1
1759771697.0,328080.75995128136,4689328.46097815,6.023,1.1
1759771698.0,328080.70104840654,4689328.50168232,6.043,1.1
1759771699.0,328080.6430818726,4689328.552548528,6.046,1.1
1759771700.0,328080.5867752512,4689328.587077976,6.022,1.1
1759771701.0,328080.56820738723,4689328.6086444175,6.023,1.2
1759771702.0,328080.5441371196,4689328.635530996,5.986,2.4
1759771703.0,328080.52251776203,4689328.6503205905,5.971,2.4
1759771704.0,328080.4922141837,4689328.67513796,5.944,2.4
1759771705.0,328080.48851598706,4689328.675599084,5.936,2.4
1759771706.0,328080.47534606286,4689328.687588766,5.889,2.4
1759771707.0,328080.46896775893,4689328.70200432,5.836,2.4
1759771708.0,328080.46808242577,4689328.688322574,5.831,2.4
1759771709.0,328080.46169015113,4689328.679775895,5.801,2.4
1759771710.0,328080.48028177256,4689328.653579317,5.805,2.4
1759771711.0,328080.5674621569,4689328.628662372,5.755,2.4
1759771712.0,328080.5669038454,4689328.628305709,5.755,2.4
1759771713.0,328080.5663546178,4689328.628319188,5.755,2.4
1759771714.0,328080.55122362735,4689328.554802879,5.77,2.4
1759771715.0,328080.56410740793,4689328.531153749,5.792,1.9
1759771716.0,328080.62954196363,4689328.48788191,5.845,1.5
1759771717.0,328080.645789932,4689328.511742011,5.737,1.5
1759771718.0,328080.68164272746,4689328.500306747,5.723,1.5
1759771719.0,328080.71889235335,4689328.484207652,5.698,1.5
1759771720.0,328080.7356629997,4689328.4789813375,5.693,1.5
1759771721.0,328080.7555200787,4689328.465160902,5.683,1.5
1759771722.0,328080.7623218314,4689328.462401427,5.663,1.5
1759771723.0,328080.75950407516,4689328.453952203,5.654,1.5
1759771724.0,328080.7414941737,4689328.453468287,5.635,1.5
1759771725.0,328080.7069267524,4689328.4445019765,5.618,1.5
1759771726.0,328080.67522460566,4689328.434724621,5.6,1.5
1759771727.0,328080.6376091797,4689328.424722021,5.581,1.5
1759771728.0,328080.59550106706,4689328.405200213,5.556,1.5
1759771729.0,328080.5433856261,4689328.397775655,5.546,1.5
1759771730.0,328080.479694488,4689328.394524005,5.529,1.5
1759771731.0,328080.4176056112,4689328.389381214,5.531,1.5
1759771732.0,328080.3402805694,4689328.407204556,5.498,1.5
1759771733.0,328080.2601730566,4689328.423614733,5.467,1.5
1759771734.0,328080.18794968,4689328.425387217,5.443,1.5
